title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;country
Kill Bill (feat. Doja Cat);SZA;pop;2023;89;74;63;-6;19;45;176;8;4;86;US
Let Me Down Slowly;Alec Benjamin;alt z;2018;150;56;65;-6;12;48;169;74;3;86;GB
Lost;Frank Ocean;lgbtq+ hip hop;2012;123;60;91;-5;17;50;234;3;23;86;US
Love On The Brain;Rihanna;barbadian pop;2016;172;64;51;-5;8;38;224;7;5;86;US
Ni**as In Paris;JAY-Z;east coast hip hop;2011;140;86;79;-6;35;78;219;13;31;86;US
Nobody Gets Me;SZA;pop;2022;100;28;36;-8;18;28;181;81;3;86;US
rockstar (feat. 21 Savage);Post Malone;dfw rap;2018;160;52;59;-6;13;13;218;12;7;86;US
Running Up That Hill (A Deal With God);Kate Bush;art pop;1985;108;55;63;-13;6;19;299;72;5;86;UNKNOWN
Set Fire to the Rain;Adele;british soul;2011;108;67;60;-4;11;45;243;0;2;86;GB
Seven Nation Army;The White Stripes;alternative rock;2003;124;45;74;-8;34;28;232;0;7;86;US
Shallow;Lady Gaga;art pop;2018;96;39;57;-6;23;32;216;37;3;86;US
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;-5;10;48;142;4;5;86;AU
telepatía;Kali Uchis;colombian pop;2020;84;52;65;-9;20;55;160;11;5;86;US
That's What I Like;Bruno Mars;dance pop;2016;134;56;85;-5;9;86;207;1;4;86;US
The Less I Know The Better;Tame Impala;australian psych;2015;117;74;64;-4;17;79;216;1;3;86;AU
The Scientist;Coldplay;permanent wave;2002;146;44;56;-7;11;21;310;73;2;86;GB
Till I Collapse;Eminem;detroit hip hop;2002;171;85;55;-3;8;10;298;6;19;86;US
Too Good At Goodbyes;Sam Smith;pop;2017;92;37;68;-8;17;48;201;64;4;86;US
Treat You Better;Shawn Mendes;canadian pop;2017;83;82;44;-4;11;75;188;11;34;86;CA
Una Noche en Medellín;Cris Mj;mambo chileno;2022;96;55;87;-5;5;83;154;9;8;86;CL
Until I Found You;Stephen Sanchez;gen z singer-songwriter;2021;101;51;54;-6;17;23;178;73;3;86;JM
What Makes You Beautiful;One Direction;boy band;2012;125;79;73;-2;6;89;200;1;7;86;UNKNOWN
All The Stars (with SZA);Kendrick Lamar;conscious hip hop;2018;97;63;70;-5;9;55;232;6;6;85;US
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;pop;2021;93;52;63;-9;9;21;613;27;3;85;US
Belly Dancer;Imanbek;electro house;2022;122;80;85;-5;17;42;151;6;14;85;UNKNOWN
Feel Good Inc.;Gorillaz;alternative hip hop;2005;139;71;82;-7;61;77;223;1;18;85;UNKNOWN
Fix You;Coldplay;permanent wave;2005;138;42;21;-9;11;12;296;16;3;85;GB
happier;Olivia Rodrigo;pop;2021;169;44;40;-10;8;34;176;77;13;85;US
Hymn for the Weekend;Coldplay;permanent wave;2015;90;69;49;-6;33;41;258;21;4;85;GB
Let Me Love You;DJ Snake;edm;2016;100;72;65;-5;14;16;206;9;3;85;FR
Levitating (feat. DaBaby);Dua Lipa;dance pop;2020;103;83;70;-4;7;92;203;1;6;85;GB
Lost in the Fire (feat. The Weeknd);Gesaffelstein;dark clubbing;2019;101;67;66;-12;12;17;202;9;4;85;FR
Love Yourself;Justin Bieber;canadian pop;2015;100;38;61;-10;28;52;234;84;44;85;CA
LOVE. FEAT. ZACARI.;Kendrick Lamar;conscious hip hop;2017;126;59;80;-7;15;78;213;26;9;85;US
Lucid Dreams;Juice WRLD;chicago rap;2018;84;57;51;-7;34;22;240;35;20;85;US
Maps;Maroon 5;pop;2014;120;71;74;-6;6;88;190;2;3;85;US
One Last Time;Ariana Grande;pop;2014;125;59;63;-5;10;10;197;9;3;85;US
Only Love Can Hurt Like This;Paloma Faith;british soul;2014;91;89;57;-5;33;30;233;10;8;85;GB
Paradise;Coldplay;permanent wave;2011;140;59;45;-7;8;21;279;5;3;85;GB
Passionfruit;Drake;canadian hip hop;2017;112;46;81;-11;11;36;299;26;4;85;CA
Payphone;Maroon 5;pop;2012;110;75;74;-5;29;55;231;2;4;85;US
Promiscuous;Nelly Furtado;canadian latin;2006;114;97;81;-6;15;87;242;6;5;85;CA
Redbone;Childish Gambino;atl hip hop;2016;160;35;75;-11;12;60;327;17;10;85;US
Riptide;Vance Joy;folk-pop;2014;102;73;48;-7;15;51;204;43;4;85;AU
Shake It Off;Taylor Swift;pop;2014;160;80;65;-5;33;94;219;6;17;85;US
Shut Up and Dance;WALK THE MOON;dance rock;2014;128;87;58;-4;26;62;199;1;6;85;US
SICKO MODE;Travis Scott;hip hop;2018;155;73;83;-4;12;45;313;1;22;85;US
Stan;Eminem;detroit hip hop;2000;80;77;78;-4;52;51;404;4;24;85;US
Stay With Me;Sam Smith;pop;2014;84;42;42;-6;11;18;173;59;4;85;US
Take Me To Church;Hozier;irish singer-songwriter;2014;129;66;57;-5;12;44;242;63;5;85;IE
Thinking out Loud;Ed Sheeran;pop;2014;79;45;78;-6;18;59;282;47;3;85;GB
Umbrella;Rihanna;barbadian pop;2008;174;83;58;-5;4;57;276;1;13;85;US
We Found Love;Rihanna;barbadian pop;2011;128;77;73;-4;11;60;215;3;4;85;US
when the party's over;Billie Eilish;art pop;2019;83;11;37;-14;9;20;196;98;10;85;US
Yonaguni;Bad Bunny;reggaeton;2021;180;65;64;-5;14;44;207;28;12;85;PR
abcdefu;GAYLE;modern alternative pop;2021;122;54;70;-6;37;42;169;30;5;84;US
bad guy;Billie Eilish;art pop;2019;135;43;70;-11;10;56;194;33;38;84;US
Bad Romance;Lady Gaga;art pop;2009;119;92;70;-4;8;71;295;0;4;84;US
Bored;Billie Eilish;art pop;2017;120;32;61;-13;8;11;181;90;5;84;US
Bring Me To Life;Evanescence;alternative metal;2003;95;94;33;-3;24;30;236;1;7;84;US
Can't Feel My Face;The Weeknd;canadian contemporary r&b;2015;108;77;71;-6;11;58;214;11;4;84;CA
Delicate;Taylor Swift;pop;2017;95;40;75;-10;9;5;232;22;7;84;US
Doin' Time;Lana Del Rey;art pop;2019;145;56;64;-11;9;52;202;40;4;84;US
