title,artist,top genre,year,bpm,energy,danceability ,dB,liveness,valence,duration,acousticness,speechiness ,popularity,country
By the Way,Red Hot Chili Peppers,alternative rock,2002.0,122.0,97.0,45.0,-5.0,10.0,20.0,217.0,3.0,11.0,77.0,US
Don't Know Why,Norah Jones,contemporary vocal jazz,2002.0,89.0,22.0,75.0,-11.0,7.0,64.0,186.0,85.0,3.0,77.0,US
Hot In Herre,Nelly,dance pop,2002.0,107.0,75.0,96.0,-5.0,6.0,91.0,228.0,21.0,12.0,77.0,US
Cleanin' Out My Closet,Eminem,detroit hip hop,2002.0,148.0,76.0,91.0,-5.0,8.0,87.0,298.0,7.0,17.0,76.0,US
Cry Me a River,Justin Timberlake,dance pop,2002.0,74.0,65.0,62.0,-7.0,10.0,56.0,288.0,58.0,18.0,76.0,US
In My Place,Coldplay,permanent wave,2002.0,145.0,59.0,42.0,-5.0,30.0,19.0,227.0,6.0,3.0,76.0,GB
Foolish,Ashanti,dance pop,2002.0,90.0,70.0,67.0,-6.0,11.0,71.0,227.0,35.0,5.0,75.0,US
Headstrong,Trapt,alternative metal,2002.0,185.0,90.0,49.0,-6.0,19.0,53.0,286.0,0.0,12.0,74.0,UNKNOWN
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,east coast hip hop,2002.0,86.0,76.0,65.0,-4.0,65.0,52.0,324.0,1.0,31.0,74.0,US
I'm with You,Avril Lavigne,canadian pop,2002.0,152.0,41.0,46.0,-7.0,12.0,21.0,223.0,8.0,3.0,74.0,CA
03' Bonnie & Clyde,JAY-Z,east coast hip hop,2002.0,90.0,68.0,76.0,-5.0,15.0,33.0,206.0,23.0,31.0,73.0,US
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jennifer Lopez,dance pop,2002.0,100.0,77.0,85.0,-5.0,6.0,96.0,188.0,1.0,19.0,73.0,US
Stop Crying Your Heart Out,Oasis,beatlesque,2002.0,75.0,57.0,38.0,-5.0,8.0,9.0,303.0,8.0,3.0,72.0,GB
Beautiful,Christina Aguilera,dance pop,2002.0,76.0,57.0,46.0,-4.0,11.0,10.0,239.0,58.0,3.0,71.0,US
Lifestyles of the Rich & Famous,Good Charlotte,alternative metal,2002.0,106.0,93.0,62.0,-4.0,7.0,61.0,190.0,0.0,4.0,71.0,US
When I'm Gone,3 Doors Down,alternative metal,2002.0,148.0,77.0,53.0,-6.0,10.0,37.0,260.0,0.0,3.0,71.0,US
Work It,Missy Elliott,dance pop,2002.0,102.0,68.0,88.0,-6.0,7.0,58.0,263.0,8.0,28.0,71.0,US
