spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4DnrAI8WyUY6gkOwl8GlPN,capaz (merengueton),"Alleh, Yorghaki",8,0,0,BO,2025-06-11,90,False,173858,LA CIUDAD,2024-12-24,0.872,0.614,3,-5.618,0,0.181,0.0815,0.000207,0.135,0.785,126.957,4
7bywjHOc0wSjGGbj04XbVi,LUNA,"Feid, ATL Jacob",9,4,7,BO,2025-06-11,89,False,196800,FERXXOCALIPSIS,2023-12-01,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4
2JPctdUgvkQSpnUdfROxvY,Te Quería Ver,"Alemán, Neton Vega",10,-1,-1,BO,2025-06-11,84,False,176129,De Vuelta a las Andadas,2025-05-09,0.807,0.763,4,-5.172,0,0.0624,0.186,1.69e-05,0.0917,0.448,100.033,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,11,0,-1,BO,2025-06-11,97,True,237117,DeBÍ TiRAR MáS FOToS,2025-01-05,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",12,2,2,BO,2025-06-11,88,False,206066,Cosa Nuestra,2024-11-15,0.687,0.627,7,-4.975,1,0.181,0.326,0.0,0.0893,0.47,155.865,4
5MKbWaXeSQSmzmo7gPQha1,Amor de Vago,"La T y La M, Malandro",13,-1,2,BO,2025-06-11,80,False,188423,Amor de Vago,2024-08-23,0.65,0.507,2,-7.27,1,0.111,0.706,2.47e-06,0.0725,0.603,179.984,4
6ifUES3keWjwXgae8pXI3o,Me Rehúso,Danny Ocean,14,7,9,BO,2025-06-11,86,False,205714,54+1,2019-03-22,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,4
2SkB7jADnfiWH8qAE9H8cO,En Privado,"Xavi, Manuel Turizo",15,0,-3,BO,2025-06-11,89,False,199399,En Privado,2025-02-06,0.833,0.863,7,-3.822,1,0.0377,0.111,4.75e-06,0.135,0.91,126.973,4
3Btqti3QpzZZr6uz5mlNzz,Es un Secreto,Plan B,16,2,5,BO,2025-06-11,74,False,190560,House Of Pleasure,2010-07-20,0.843,0.786,6,-4.938,0,0.0434,0.103,2.41e-06,0.0535,0.502,95.0,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,17,-7,18,BO,2025-06-11,90,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,18,-1,-5,BO,2025-06-11,94,True,204768,DeBÍ TiRAR MáS FOToS,2025-01-05,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
3D24ErT1MMmUfXWotSj2A2,ME JALO,"Fuerza Regida, Grupo Frontera",19,-3,-8,BO,2025-06-11,92,True,212002,MALA MÍA,2024-12-19,0.47,0.75,2,-5.887,0,0.112,0.216,0.0,0.169,0.62,79.814,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,20,0,-3,BO,2025-06-11,94,False,195824,Si Antes Te Hubiera Conocido,2024-06-21,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",21,-2,-3,BO,2025-06-11,91,True,191018,Cosa Nuestra,2024-11-15,0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,4
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,"J Balvin, Bad Bunny",22,5,7,BO,2025-06-11,90,False,242573,OASIS,2019-06-28,0.756,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,4
2F6PBqz7aPA7K309aFKMHt,Con Otra,Cazzu,23,-1,-3,BO,2025-06-11,76,False,231016,Latinaje,2025-04-24,0.431,0.69,10,-4.502,0,0.0395,0.12,0.0,0.961,0.575,167.972,4
7d6yK8v8J484SWH5prIQiE,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",24,-1,0,BO,2025-06-11,92,True,235336,DeBÍ TiRAR MáS FOToS,2025-01-05,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
6kPCcIAGoTeRrh8qrmKa90,Piel,"Tiago PZK, Ke Personajes",25,5,7,BO,2025-06-11,77,True,142041,GOTTI A,2024-07-04,0.646,0.907,0,-1.617,1,0.0593,0.422,0.0,0.14,0.816,168.004,4
4OwhwvKESFtuu06dTgct7i,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",26,3,24,BO,2025-06-11,84,False,321555,Tiroteo (Remix),2021-04-01,0.75,0.522,9,-7.018,1,0.0293,0.282,0.0,0.0743,0.601,110.427,4
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,27,-3,-2,BO,2025-06-11,93,True,156364,DeBÍ TiRAR MáS FOToS,2025-01-05,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3
4MUrUT38U98olfnyzMBCzm,KLOuFRENS,Bad Bunny,28,-3,3,BO,2025-06-11,90,True,199114,DeBÍ TiRAR MáS FOToS,2025-01-05,0.326,0.125,1,-32.45,1,0.148,0.703,0.706,0.18,0.306,106.974,4
5FLzweTtgQurkLPs0E7uEO,Priti,"Danny Ocean, Sech",29,-3,-7,BO,2025-06-11,87,False,130968,Priti,2025-03-20,0.8,0.681,9,-7.307,1,0.0499,0.163,0.0,0.101,0.523,121.915,4
0STW8nw4lNN4TEQ8KmNer6,Parte & Choke,"Jombriel, Alex Krack, Jøtta",30,1,-11,BO,2025-06-11,84,False,205264,Parte & Choke,2024-11-05,0.728,0.654,5,-3.976,0,0.365,0.00581,0.0,0.131,0.884,117.337,5
2BvPMS2XWfnCpHHvWeOyeC,DETRÁS DE TU ALMA,Mora,31,2,12,BO,2025-06-11,83,True,237000,LO MISMO DE SIEMPRE,2025-05-18,0.433,0.733,4,-5.54,0,0.128,0.503,0.0,0.244,0.263,89.405,4
5mp6OBKCAjN4UYRvhOuUze,Tu Boda,"Oscar Maydon, Fuerza Regida",32,-4,18,BO,2025-06-11,68,True,225880,"Rico o Muerto, Vol. 1",2025-06-06,0.694,0.651,6,-6.968,1,0.0785,0.496,1.36e-05,0.0787,0.472,112.648,3
6uroNiDEDd0xFLiri0aQNk,Triple Lavada,Esau Ortiz,33,-1,-3,BO,2025-06-11,91,True,165790,Triple Lavada,2025-03-28,0.909,0.583,10,-5.735,0,0.0847,0.417,0.0,0.137,0.557,100.012,4
32SJM4tQyJHsB8rgVtZURn,WASSUP,Young Miko,34,0,-6,BO,2025-06-11,87,True,162263,WASSUP,2025-04-25,0.86,0.681,1,-4.757,0,0.0399,0.00481,6.09e-06,0.142,0.656,145.023,4
61C7zXd4t2Zuhz6DRwgsLM,Volver,"Piso 21, Marc Anthony, Beéle",35,0,5,BO,2025-06-11,85,False,232149,Volver,2025-02-06,0.478,0.793,11,-4.449,1,0.387,0.235,0.0,0.146,0.604,92.294,4
6C1RD7YQVvt3YQj0CmuTeu,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",36,14,14,BO,2025-06-11,84,True,286040,Diles,2016-08-26,0.813,0.56,2,-5.904,0,0.0618,0.108,0.0,0.268,0.287,118.033,4
18m5dJOPB2geFwOymXNaWg,AURORA,"Mora, De La Rose",37,-1,-3,BO,2025-06-11,85,True,192853,LO MISMO DE SIEMPRE,2025-05-18,0.595,0.761,11,-4.966,0,0.042,0.592,0.0,0.202,0.367,111.926,4
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",38,3,-1,BO,2025-06-11,91,False,251667,MAYHEM,2025-03-07,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
0Lahr7sUDdtYnX3n3KobR6,PONTE LOKITA,"Katteyes, Kidd Voodoo, Swift 047",39,0,-1,BO,2025-06-11,83,True,183673,PONTE LOKITA,2025-02-14,0.771,0.725,7,-3.574,0,0.0592,0.274,3.38e-05,0.0745,0.791,98.019,4
0vcuJjViqrFCCWUrjrZW1X,RAMEN PARA DOS,"Maria Becerra, Paulo Londra, XROSS",40,10,-13,BO,2025-06-11,84,True,231999,RAMEN PARA DOS,2025-05-08,0.789,0.627,1,-4.211,0,0.0444,0.155,0.0,0.375,0.601,130.021,4
4zbEItKoaRId1vRZkoO0Uh,Imagínate,"Danny Ocean, Kapo",41,2,5,BO,2025-06-11,88,False,170365,Imagínate,2024-11-07,0.779,0.737,11,-4.667,1,0.109,0.134,0.0,0.0974,0.445,101.923,4
4SJHHpKhcuXwDsCsPqshXj,El Efecto,"Rauw Alejandro, Chencho Corleone",42,-4,8,BO,2025-06-11,83,False,217142,El Efecto,2019-03-15,0.849,0.781,0,-4.635,0,0.159,0.406,0.0,0.0801,0.893,84.041,4
5xSt1wxZobFcLzHrFakv6z,COSAS QUE NO TE DIJE,SAIKO,43,2,7,BO,2025-06-11,80,False,224725,COSAS QUE NO TE DIJE,2021-09-17,0.616,0.673,2,-3.948,1,0.0327,0.563,0.0,0.122,0.21,99.971,4
6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,Maluma,44,6,6,BO,2025-06-11,85,False,207306,"Pretty Boy, Dirty Boy",2015-10-30,0.73,0.701,5,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,4
7MVIfkyzuUmQ716j8U7yGR,Rara Vez,"Milo j, Taiu",45,-1,-4,BO,2025-06-11,82,False,128677,Rara Vez,2023-02-08,0.838,0.708,5,-4.668,0,0.166,0.176,0.0,0.343,0.96,119.984,4
4d4cW91CpcogH1COrpNaH2,Bailando Conmigo,Luis Vega,46,-4,4,BO,2025-06-11,55,False,193820,Bailando Conmigo,2023-02-10,0.726,0.685,9,-5.944,1,0.0547,0.43,0.0,0.0822,0.954,79.968,4
3fmw8iIyQDS2L7nE6Wd0xG,sobelove,Beéle,47,0,-5,BO,2025-06-11,81,False,131827,BORONDO,2025-05-15,0.756,0.721,8,-4.046,0,0.191,0.36,9.88e-06,0.0794,0.715,111.994,4
5WEF0icHWmAZBBMglBd599,WELTiTA,"Bad Bunny, Chuwi",48,-8,-3,BO,2025-06-11,89,False,187507,DeBÍ TiRAR MáS FOToS,2025-01-05,0.458,0.297,4,-32.354,0,0.6,0.866,0.329,0.346,0.357,96.14,3
5DdLSEyKh8zgCrJq2hFj92,Yo sé,"Yan Block, TORRRES",49,-1,0,BO,2025-06-11,86,True,129705,Yo sé,2024-05-23,0.716,0.462,5,-9.847,0,0.128,0.68,0.0,0.132,0.626,136.045,4
5Fhr3wqeieN5WDkAsqL1JJ,MONA LISA,j-hope,50,-13,-11,BO,2025-06-11,87,False,137191,MONA LISA,2025-03-21,0.799,0.805,1,-5.009,1,0.0372,0.0278,9.03e-06,0.0535,0.96,137.952,4
3Z0bGsiJF9ErQF1iMHsa1G,Danoto kopay,"Emanuela, Tedi Aleksandrova",1,0,0,BG,2025-06-11,57,False,248159,Danoto kopay,2025-05-22,0.734,0.772,7,-7.689,0,0.048,0.00967,0.0,0.323,0.372,125.977,4
1r8idx9lRikl6t0qA8Nqvm,"Реже, Реже",VANE$$A,2,0,0,BG,2025-06-11,52,False,195862,"Реже, Реже",2025-05-23,0.617,0.938,1,-4.025,1,0.0898,0.0203,0.0,0.227,0.696,173.989,4
2BPBJe9D4sSYmidE1OX6FO,Правена в България,Djordan,3,0,12,BG,2025-06-11,47,False,180000,Правена в България,2025-05-22,0.701,0.86,0,-5.618,1,0.0996,0.124,0.0,0.284,0.74,168.069,4
3Ta7Nz7ZaaHe9wDlfOdwOe,Bum Lake Pare,"Adam, Mirela",4,0,5,BG,2025-06-11,55,False,173023,Bum Lake Pare,2025-03-02,0.714,0.903,11,-4.701,0,0.195,0.0221,0.0,0.214,0.898,171.972,4
2Exu33bEQ8U2ZSCwLXJ2I5,Мисли му,"Kiara, Monkey",5,0,-2,BG,2025-06-11,55,False,175813,Мисли му,2025-03-14,0.689,0.869,4,-4.285,0,0.058,0.0591,0.0,0.0317,0.653,171.907,4
7rpYxeb9bA0qUa4KdeIfS6,Май полудях,"SIMONA, Ivayla",6,5,4,BG,2025-06-11,52,False,176923,Май полудях,2025-03-20,0.734,0.928,6,-4.409,0,0.123,0.0472,0.0,0.306,0.873,155.981,4
6Rov6lAeKFILrSHmkUyvxw,22:22,Galena,7,-1,0,BG,2025-06-11,55,False,215918,22:22,2025-05-10,0.619,0.818,6,-6.939,1,0.132,0.0582,0.0,0.0928,0.571,146.906,4
1l3XkislBJaCvh7B2Lp2SD,RAZ DVA TRI,"V:RGO, Atanas Kolev",8,0,-4,BG,2025-06-11,54,True,149004,RAZ DVA TRI,2025-05-14,0.917,0.786,6,-4.222,1,0.141,0.0339,0.0,0.266,0.949,100.032,4
1lYu0w0V6kGnFhH4jq1ZtS,Only Fans,MBT,9,0,-3,BG,2025-06-11,55,True,157090,Dopamina,2025-05-05,0.909,0.539,8,-11.001,0,0.287,0.0575,1.57e-05,0.193,0.145,109.958,4
7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",10,29,-2,BG,2025-06-11,84,False,234895,Winter Ahead (with PARK HYO SHIN),2024-11-29,0.36,0.316,3,-9.954,1,0.0284,0.858,0.000212,0.23,0.229,76.844,3
